Student_Status,Age,Exchange_Semester,Exchange_Location,Exchange_Year,Housing_Finding_Method,Housing_Difficulties,Housing_Budget,Housing_Cost,Housing_Satisfaction
YES,26,YES,Italy,2025,University Website,"I'm thrilled with my current housing arrangement because I found an affordable studio apartment in a central location that allows me to walk to campus and local shops. Plus, the complex offers great amenities like a gym and community lounge, making it feel like home!",564,505,YES
YES,22,NO,Turkey,2020,Rental Website,"I recently fell victim to a scam when I tried to rent an apartment online - the landlord claimed the place was available and even sent me a fake lease agreement, only to disappear once I sent in the deposit payment. The whole ordeal left me feeling frustrated, anxious, and worried about finding a new place that wasn't a total gamble.",268,234,NO
YES,26,NO,Germany,2016,Real Estate Agency,"I recently fell victim to a rental scam where a fake landlord advertised a luxurious apartment on social media, but when I showed up to the ""property"" it was just an empty lot with no signs of construction. Despite reporting the scam to the authorities and online platforms, I've yet to receive any compensation or see justice served.",300,246,NO
YES,20,NO,Spain,2024,University Website,"I'm thrilled with my current housing situation because it offers an unbeatable combination of affordability and proximity to campus. My cozy apartment is within walking distance to classes, has a great community atmosphere, and is surprisingly affordable for the quality and convenience I receive.",511,458,YES
YES,22,YES,France,2017,University Website,"I'm thrilled to be living in a cozy off-campus apartment that offers great value for its price - it's affordable and has all the essentials I need. Plus, its central location means I can easily walk to campus, grab coffee with friends, or explore the city, making it the perfect spot for me!",501,496,YES
YES,21,YES,Turkey,2020,Rental Website,"I'm thrilled to be living in my cozy apartment because it's incredibly affordable and located just a short walk from campus, making it easy for me to get to classes and hang out with friends. Plus, the building has a great pool and gym, which is perfect for unwinding after a long day of studying!",288,257,YES
YES,28,YES,Italy,2017,Roommate Website,"I'm thrilled with my housing situation because I found an affordable and cozy apartment that's perfectly located near campus, making it easy to walk to classes and hang out with friends. Plus, the building has a great communal space and 24/7 gym, which adds to my overall sense of comfort and convenience.",524,439,YES
YES,19,NO,France,2017,University Website,"I'm thrilled to be living in my current apartment because it's affordable and located just a block away from campus, making it easy to get to class on time. Plus, the building offers a gym and study lounge, which has been super helpful for staying active and focused during my studies.",363,314,YES
YES,32,YES,Spain,2024,Rental Website,"I recently had a nightmare experience trying to rent an apartment online, only to discover that the listing was fake and the ""landlord"" was actually just a scammer trying to get my deposit. Despite reporting the issue to the website, I never received any refund or assistance in finding alternative housing.",388,307,NO
YES,25,YES,Germany,2015,Rental Website,"I recently fell victim to a rental scam when I tried to secure a room in what seemed like a legitimate apartment complex. The scammers posed as the landlord and sent me a fake lease agreement, demanding payment upfront before revealing that the apartment didn't actually exist.",578,538,NO
YES,24,YES,Germany,2025,Real Estate Agency,"I'm thrilled with my current housing situation because I found an affordable and cozy apartment that's within walking distance to campus, allowing me to easily balance my academic and social life. Additionally, my place has all the modern amenities I need, including a fully equipped kitchen, comfortable bedroom, and a community lounge where I can relax with friends.",212,119,YES
YES,22,YES,Hungary,2019,CROUS (Student Housing),"I'm thrilled to be living in my cozy apartment that fits within my budget, allowing me to allocate funds towards other important things like food and entertainment. Plus, its central location makes it easy for me to get around campus and explore the surrounding neighborhood, with plenty of amenities like grocery stores and restaurants just a short walk away.",513,486,YES
YES,30,NO,France,2015,University Website,"I recently fell victim to a rental scam where a fake landlord advertised a spacious apartment on Craigslist for a ridiculously low price, only to demand an upfront deposit and disappear without showing the place or providing any real information about the property. I was left feeling frustrated and out of pocket, with no recourse or support from local authorities or online platforms.",265,250,NO
